dataset,estimator,time,model_string,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,HROCH,120.01279950141907,(x18*x5 - 4.508302211761475)*sin((x18 + x19**2)*(x19**2 - 4.686124801635742) - 3.2908763885498047),0.42831896588772206,0.8509537526493129,0.7916666666666666,0.44212340912909887,0.8479086977174429,0.775
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,CatBoost,0.9064688682556152,,0.25284606274760757,0.9849805138347606,0.9291666666666667,0.46563900339479775,0.8436710917772944,0.7775
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,GradientBoosting,0.14919686317443848,,0.5709209075112932,0.8435717876994103,0.7516666666666667,0.7109191214549204,0.5570889272231805,0.5375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,LGBM,0.046607255935668945,,0.19999923250090548,0.9950110972530479,0.9608333333333333,0.5324626998546835,0.8203205080127003,0.745
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,XGB,0.06505179405212402,,0.10290413242961184,0.9997749993749983,0.9916666666666667,0.5978459574026903,0.8184454611365284,0.74
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,DecisionTree,0.006240129470825195,,0.0023104906018667055,0.9999944444290123,0.9983333333333333,16.219644025102717,0.5504387609690242,0.55
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,LogisticRegression,0.048932552337646484,,0.6849986834842244,0.5707099186386629,0.5608333333333333,0.7127373948149137,0.4559113977849446,0.4725
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,KNeighbors,0.027199745178222656,,0.513302679559323,0.8160911558087661,0.755,1.905802716914951,0.5924023100577515,0.5725
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,RandomForest,0.26699042320251465,,0.18064608024219206,0.9999944444290123,0.9983333333333333,0.6220512659519186,0.7279181979549488,0.68
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,SVC,0.25362467765808105,,0.5450487274553748,0.8910594196094989,0.815,0.6575656792025639,0.6612915322883072,0.63
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,RILS-ROLS,121.96958184242249,"(((((0.481857*cos(x18))+(0.752303*(((((x17<x18)-x19))**2)<x18)))+(0.680779*((MIN((x17/x19), MAX((x18<x19), 0.400000)))**2)))+(-0.247055*(0.467622<x17)))+-0.038226)",0.660317951764398,0.6799546665407404,0.68,0.6413467048194001,0.7053426335658391,0.705
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,HROCH,120.01399278640747,-sin(40629.70994627279*(0.004961101803928613*x17**2 + x18 + 0.004961101803928613*x19)**2 - 0.2022428810596466),0.6087463193631767,0.7369437137325382,0.685,0.602681377702904,0.7657191429785745,0.705
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,CatBoost,0.8953213691711426,,0.3852049589760066,0.9832930091472476,0.93,0.651485819236613,0.6626165654141354,0.61
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,GradientBoosting,0.14290285110473633,,0.5931476151879418,0.7897966383239954,0.7058333333333333,0.724466204397834,0.4970499262481562,0.515
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,LGBM,0.04423666000366211,,0.33019339137575837,0.9910430306750853,0.9483333333333334,0.7454585016848816,0.5757143928598214,0.5525
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,XGB,0.06609773635864258,,0.15729966948330723,0.9994597207214464,0.99,0.8566581210570837,0.5959148978724468,0.5725
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,DecisionTree,0.005964994430541992,,0.0011552453009334638,0.9999986111072531,0.9991666666666666,15.140067291380603,0.5791269781744544,0.5775
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,LogisticRegression,0.04139876365661621,,0.6820851231389484,0.5824280067444632,0.5625,0.6974535877894497,0.5311632790819771,0.53
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,KNeighbors,0.021125316619873047,,0.5524520850579677,0.7737202047783466,0.7116666666666667,1.5943624607750695,0.5597389934748369,0.53
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,RandomForest,0.2716536521911621,,0.19815588862385677,0.999998611107253,0.9991666666666666,0.6902925455679277,0.579214480362009,0.5525
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,SVC,0.2557077407836914,,0.6931471805599453,0.5,0.7475,0.6931471805599452,0.5,0.5225
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,RILS-ROLS,121.02271723747253,"((0.668088*((exp((((1.446825*MIN(((-0.466024*MIN(x19, x18))+(0.237144*MAX(x18, x19))), 0.170744))+(-0.716311*MAX((0.360920-x17), MIN(x16, x17))))+MIN(0.214263, x16))))**2))+-0.064688)",0.6382231045775205,0.7350298195272765,0.735,0.6548107319217894,0.7072301807545188,0.7075
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,HROCH,120.0120017528534,-0.10029204934835434*x17*(x16 + x17)**2 + sin((x16 + x17)**2 - 0.2370048463344574) + sin(2*x18 + 2*x19 - 0.25983220338821412),0.5684318850319718,0.7748729857582938,0.6816666666666666,0.6016669456130451,0.7242306057651441,0.65
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,CatBoost,0.8606078624725342,,0.32412783964636205,0.9713943649843473,0.8991666666666667,0.6032740864177167,0.7360434010850271,0.6775
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,GradientBoosting,0.13823795318603516,,0.5351427182114548,0.8545190403306676,0.7658333333333334,0.681801867343914,0.6251906297657441,0.6025
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,LGBM,0.04510331153869629,,0.2756198537243572,0.9860860724613124,0.9408333333333333,0.673636291661478,0.6887422185554639,0.6075
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,XGB,0.06294798851013184,,0.13727630806218652,0.9988777746604851,0.9875,0.8214474352966903,0.6680917022925573,0.6375
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,DecisionTree,0.005613803863525391,,2.2204460492503136e-16,1.0,1.0,15.228443556901995,0.577751943798595,0.5775
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,LogisticRegression,0.04446077346801758,,0.6841917087065285,0.5744182622729508,0.5383333333333333,0.7145163048961005,0.4447861196529913,0.45
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,KNeighbors,0.02117133140563965,,0.5268079718082506,0.8006341684282456,0.735,1.5456295843129235,0.6147653691342283,0.59
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,RandomForest,0.2716503143310547,,0.1881393119723439,1.0,1.0,0.6734738339405237,0.6275656891422284,0.6025
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,SVC,0.2472522258758545,,0.48610500618978336,0.8989274970208252,0.8133333333333334,0.6801112878995313,0.6260406510162755,0.59
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,RILS-ROLS,121.01995754241943,"((((((0.448557*(sqrt(x16)<x17))+(-0.248700*x16))+(0.698582*(x17<x16)))+(-0.287546*MIN(x18, x19)))+(0.195686*(((x9*x15)-x18)<x19)))+0.301100)",0.6257926016533953,0.7306617518381997,0.7308333333333333,0.6317935558780478,0.7179804495112377,0.7175
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,HROCH,120.01386880874634,atan((1.6636252403259277*x16*(-3.3272504806518554*x16 + x6) + x5 + (-1.6636252403259277*x16 + x17)*(-1.6636252403259277*x10*x16 + x2))*(-x10 - x13 + 1.6636252403259277*x16*(-3.3272504806518554*x16 + x6) + 133.1158905029297*x17)),0.5569965145929364,0.7722368673246315,0.7308333333333333,0.5895470353152084,0.7465936648416212,0.7125
