dataset,method,time,model_string,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,RILS-ROLS-Pseudo-Generic,2.1933772563934326,0.432683*x19 + 2.267004*sin(x18 + 1.470876*x19*exp(x18)) - 0.516068,0.6227521121065565,0.722402944648934,0.6808333333333333,0.6495878992526524,0.6989618511569731,0.695
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,HROCH,1.0175330638885498,-0.036316435784101486*x14 - 0.036316435784101486*x18*((x18 + x2)**2 - 23.26029396057129) - 0.036316435784101486*x18 - 0.0998474583029747*x19*(-x14 - x18*((x18 + x2)**2 - 23.26029396057129) - x18 - x2 + (x18 + x2)**2 - 9.23922348022461) - 0.036316435784101486*x2 + 0.036316435784101486*(x18 + x2)**2 - 0.33553566621453967,0.6448522846353045,0.7033182859920828,0.6733333333333333,0.6633462295711461,0.6620137585991244,0.68
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,HROCH-Pseudo,1.8435986042022705,(x18 - 0.3177521868085785)*(x19 - 0.24834740120464532)*(-x12 - 2*cos(x18 + x19 - 0.24834740120464532) - 2.22220769661348),0.6187305105138546,0.7019334676019168,0.6733333333333333,0.6306432446237763,0.669906191369606,0.68
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,HROCH-Pseudo-Generic,1.015510082244873,((x18-0.35097014904022217)*(((-3.2253921031951904)-((x12+cos((x18+(x19-0.3411933481693268))))+cos((x18+(x19-0.3411933481693268)))))*(x19-0.3411933481693268))),0.6365136305288107,0.6918133203694701,0.6733333333333333,0.6504472942103097,0.6574233896185117,0.68
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,LogisticRegression,0.024166107177734375,,0.6864671009708524,0.563150218765192,0.5491666666666667,0.7014204569436389,0.4870794246404002,0.4775
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,RandomForest,0.2600746154785156,,0.1864972964265711,0.9999944440586152,0.9983333333333333,0.6192777089868089,0.7407629768605378,0.6875
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,CatBoost,0.925673246383667,,0.2590323229190136,0.983482186262935,0.9258333333333333,0.4431834038802512,0.85458411507192,0.78
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,RILS-ROLS,2.0034759044647217,"((((1.354543*(x19<x18))+(-0.698765*x18))+(0.917456*MIN(0.496643, x19)))+0.353884)",0.5968213547083976,0.7753802347385236,0.7741666666666667,0.594935826658364,0.7861163227016884,0.79
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,RILS-ROLS-Pseudo-Generic,2.291656017303467,-3.55620913312101*x18**2 + 7.76098*x18 - 0.964297*x19 - 5.180929*sin(x19/(0.164359*x18 - 0.037536)) - 1.062711,0.4556785180907133,0.8424279463851655,0.785,0.4342272688157172,0.8522076297686054,0.795
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,HROCH,1.0141561031341553,0.4390476942062378*x18 + 0.4390476942062378*x19 - 0.4390476942062378*x3 - 0.4390476942062378*x5 - 0.4390476942062378*(x18 + x19)/(x18 + x19 - 1.1360864639282227) - 0.060560768878353602,0.4913210995971921,0.8064935064935065,0.7791666666666667,0.4724652018626104,0.8150719199499687,0.7825
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,HROCH-Pseudo,1.8920276165008545,-(x12/(-1.7077329652432898*x18 - 3.5461709105296902) + 3.088010020371854)*sin(1.7077329652432898*x18 - x19*(-x18 - 1.72303605106387) + 2.9424854647043913),0.43665289156107645,0.853000902840475,0.79,0.4124553217909545,0.8566228893058162,0.8025
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,HROCH-Pseudo-Generic,1.0111143589019775,(sin(((((-1.920034408569336)-x18)*x19)+(((-1.920034408569336)-x18)*1.5232237577438354)))*((x12/((-1.7982735633850098)+(((-1.920034408569336)-x18)*1.5232237577438354)))-(-3.4671623706817627))),0.44806608648711366,0.8530870199319397,0.785,0.4236425829540924,0.8534959349593496,0.795
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,LogisticRegression,0.007444143295288086,,0.6833251914074207,0.5782137648447809,0.56,0.6985844520549744,0.5194496560350219,0.505
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,RandomForest,0.23887872695922852,,0.1987124558193975,0.9999986110146538,0.9991666666666666,0.6915552803256301,0.5627642276422764,0.545
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,CatBoost,0.9542429447174072,,0.38501150398155315,0.9834919091603584,0.9291666666666667,0.6356426039618733,0.6767979987492183,0.6275
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,RILS-ROLS,2.002988576889038,"((0.147301*MIN(MAX(x8, x1), x19))+0.469305)",0.6933573276060085,0.5538856865060073,0.5516666666666666,0.7325752347647233,0.4861163227016886,0.4925
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,RILS-ROLS-Pseudo-Generic,2.05570650100708,1.414521*sin(x19*x8) - 0.100227,0.6898749785247228,0.5329397874852421,0.53,0.7103590564029002,0.4978111319574735,0.5075
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,HROCH,1.0101652145385742,x19*x8*(x8*(-x17 + x18 + x4) - 0.7694318890571594)*(-x17 + x18 + x4),0.6743903424152947,0.5371442461282033,0.5325,0.7316520519917853,0.5013258286429018,0.5125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,HROCH-Pseudo,1.526444435119629,(-0.19576738110398123*x12 + sin((x17 + x18)**2))*(x19 - 0.2967515285257778)*(x1 + x17 + x18 + x5 + 0.45702172640714966),0.628627593723525,0.7120216681714009,0.645,0.6527146290164977,0.7096685428392746,0.63
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,HROCH-Pseudo-Generic,1.0153400897979736,(((sin(((x17+x18)**2))+(x12*(-0.21100859344005585)))*((-0.27904051542282104)+x19))*(x5-(((-0.5971039533615112)-x1)-(x17+x18)))),0.6288481778820992,0.7128439474963539,0.6458333333333334,0.6555059937341445,0.7098936835522202,0.63
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,LogisticRegression,0.054619550704956055,,0.6877430159782354,0.5582776581707063,0.54,0.700755264798984,0.4999124452782989,0.5025
