dataset,method,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,DecisionTree,0.0029027462005615,,33585,0.6327887466523103,0.6932170895020081,0.6446428571428572,0.7392698004022801,0.5411628594791141,0.5541666666666667
credit_g,DecisionTree,0.0030815601348876,,33585,0.4293341456980962,0.8504782196969697,0.7871428571428571,0.5462510324297244,0.7223579545454546,0.7233333333333334
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,DecisionTree,0.0020742416381835,,92067,0.6775868472061675,0.5949414927715109,0.5741071428571428,0.7151197587419056,0.4792097444006186,0.4833333333333333
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,DecisionTree,0.0036408901214599,,41729,0.5670501378952033,0.7707687202460721,0.6982142857142857,1.018980509472312,0.526182844401087,0.5145833333333333
mushroom,DecisionTree,0.0073678493499755,,57302,0.0030466478196944,0.999990084883314,0.9982412944073162,0.0039446805563653,0.9999838409083563,0.9975389663658736
parity5+5,DecisionTree,0.0017521381378173,,33585,0.6746377219585303,0.606781746931373,0.5750636132315522,0.7848036509378051,0.3100308209582516,0.3579881656804733
Hill_Valley_without_noise,DecisionTree,0.1203365325927734,,92067,0.585714361203758,0.7512377614597241,0.6757075471698113,0.7473394109443958,0.577156007751938,0.532967032967033
dis,DecisionTree,0.0061607360839843,,41729,0.0262263274231967,0.992007772832696,0.9886363636363636,0.1173951426122558,0.8888093106535363,0.9876325088339224
coil2000,DecisionTree,0.126258373260498,,66580,0.1503068733569988,0.9090946479288852,0.9403636363636364,0.8895332936983638,0.6310636288411468,0.9429928741092636
chess,DecisionTree,0.0041034221649169,,66580,0.0485725112807964,0.9983349168379684,0.978095663835494,0.1334265719392477,0.995027833677443,0.9697601668404588
german,DecisionTree,0.003713846206665,,57302,0.4203631255338121,0.8586988352431064,0.7971428571428572,1.1365603054590323,0.6626954579300075,0.7366666666666667
adult,DecisionTree,0.0839254856109619,,92067,0.3438263817563485,0.8725653693237337,0.8447161367691363,0.3555682329878389,0.8722946910331033,0.8435132737323415
adult,DecisionTree,0.3117640018463135,,66580,0.2519514572888406,0.9394348807460502,0.8781479423206294,0.6411898101465003,0.8970750125782168,0.8538183307172592
adult,DecisionTree,0.0453205108642578,,33585,0.3681804663946881,0.846350422558475,0.8393342888063412,0.3683124429731399,0.8481240599395301,0.8402374940285265
dis,DecisionTree,0.0084819793701171,,66580,0.0191274804881392,0.9891779740570062,0.993939393939394,0.2762100283422263,0.8331081081081081,0.984982332155477
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DecisionTree,0.1235432624816894,,33585,0.4720741397485634,0.8477649220521949,0.7669642857142858,3.073801902744438,0.5355260181979505,0.5270833333333333
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,DecisionTree,0.0031099319458007,,57302,0.5191706661833747,0.8192557656002858,0.7410714285714286,0.6689249904927246,0.715294178938594,0.6708333333333333
credit_g,DecisionTree,0.0029609203338623,,66580,0.4403516124448141,0.8437497047960023,0.7771428571428571,0.6219488751255559,0.7494129102468641,0.7533333333333333
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,DecisionTree,0.0021932125091552,,33585,0.5313790683184105,0.794892161835402,0.7419642857142857,0.5326945473977813,0.7930635536456793,0.7604166666666666
agaricus_lepiota,DecisionTree,0.0084826946258544,,66580,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
chess,DecisionTree,0.0038740634918212,,92067,0.0381639734768005,0.9988667474529868,0.9821189092534643,0.121228931727956,0.9959932618896308,0.978102189781022
phoneme,DecisionTree,0.0256175994873046,,33585,0.2503131201802943,0.9505894056271968,0.8796932839767319,0.8398858571824408,0.9002340200981966,0.8458692971639951
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,DecisionTree,0.0259387493133544,,33585,0.5730436362847573,0.7625439024623658,0.6910714285714286,0.7138980381140082,0.6349275387532838,0.6208333333333333
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,DecisionTree,0.0019595623016357,,92067,0.6470823642764375,0.6543688267618346,0.6178571428571429,0.6623828064176636,0.6197025247172073,0.575
credit_g,DecisionTree,0.0052123069763183,,41729,0.4142418815452199,0.8626813979448722,0.7957142857142857,0.7319405589446816,0.6898006773638331,0.68
agaricus_lepiota,DecisionTree,0.0064291954040527,,92067,0.0016005247950216,0.9999972270902194,0.9991229608840554,0.0018062015173408,0.9999969814540536,0.9987725040916532
spambase,DecisionTree,0.0189671516418457,,33585,0.313435669512585,0.915492824701309,0.867080745341615,0.3174784649069636,0.9123807617904076,0.8711078928312816
mushroom,DecisionTree,0.0074965953826904,,92067,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
chess,DecisionTree,0.004695177078247,,41729,0.0373064573776605,0.9990139891046396,0.9812248547161376,0.2724024810947199,0.9919112836393772,0.9708029197080292
magic,DecisionTree,0.4070711135864258,,41729,0.2429765649869409,0.9559214449081808,0.8835811927294577,1.2055230856115875,0.8886531135014274,0.8436733263231686
churn,DecisionTree,0.0136926174163818,,66580,0.2663481756035386,0.8182595430198658,0.91,0.2604950871813742,0.8513564478415006,0.9073333333333332
Hill_Valley_without_noise,DecisionTree,0.0818192958831787,,33585,0.5426980680035138,0.7945870324633425,0.7169811320754716,1.107390236250688,0.5516793524223753,0.5412087912087912
